,year,AQI
0,1990,64.66129032258064
1,1991,53.21875
2,1992,56.166666666666664
3,1993,48.20967741935484
4,1994,43.193548387096776
5,1995,42.54838709677419
6,1996,44.596774193548384
7,1997,53.9375
8,1998,49.55
9,1999,49.29308390022676
10,2000,63.60553075396825
11,2001,66.139649048025
12,2002,57.02771739130435
13,2003,57.24597897129866
14,2004,54.525848765432094
15,2005,74.73741838272225
16,2006,69.97252747252747
17,2007,55.56881862099254
18,2008,59.24750494071146
19,2009,63.73604249011858
20,2010,54.369699714536665
21,2011,61.6467434643922
22,2012,63.08961583801401
23,2013,61.72628205128205
24,2014,53.11423021423021
25,2015,66.70538485412787
26,2016,41.75364680322781
27,2017,67.33740942028986
28,2018,66.24094202898551
29,2019,37.874468731026106
30,2020,46.736111111111114
31,2021,23.41364734299517
32,2022,31.106884057971016
33,2023,28.866545893719806
34,2024,14.103825136612022
