,year,smoke_estimate_scaled,Mean_GIS_SqMiles,Mean_average_distance
0,1961,5.704263741744939,2.112676749413521,430.4848367551944
1,1962,2.064931506092589,0.8397848669462802,475.3376104624579
2,1963,7.2742858668060215,2.3461985437443658,401.2332786397948
3,1964,5.47608571069386,2.354630620192148,360.5102775522849
4,1965,2.1903705006869925,0.9547393546024949,454.0414100159478
5,1966,9.449034526437007,2.95954297868719,443.2007653726159
6,1967,0.8018644909397025,0.3256250342620866,489.67896557856244
7,1968,2.8796629617421927,0.8051014875345384,435.9250448364458
8,1969,1.8912383779589215,0.5811125920450898,449.5803828048296
9,1970,1.5272242558660643,0.5790988197797664,412.3085560780957
10,1971,7.797367312516303,2.9108291886709536,398.3757101545548
11,1972,2.263092244987873,0.8757040115558193,427.03358118221854
12,1973,5.358416949238808,2.0548814033441225,413.33474839873105
13,1974,1.6368007472765034,0.6907855718334308,438.1145887686867
14,1975,2.848448909281624,0.6050745453831446,379.1100305589875
15,1976,3.443729181248074,1.2840910762395863,432.16416544817406
16,1977,6.2685551202289265,1.6116463741206648,353.37067538004226
17,1978,1.0837677459239377,0.3877327678026671,351.31624834071323
18,1979,4.634608023947144,2.1026673986941087,375.6321417686367
19,1980,3.19462577654739,0.9964907770768965,332.60291345845474
20,1981,6.784079447996698,2.750415849025986,354.4160046951567
21,1982,2.4061473592999514,0.9279646898256333,303.6315633428157
22,1983,5.95122881608319,2.1222472025093504,315.57508313681257
23,1984,7.835371861356748,2.237881454490949,318.74702325895464
24,1985,11.630471615771144,4.104259415670148,356.0594032329413
25,1986,7.767092759614033,2.4948803114448794,306.9391758708473
26,1987,10.953943494763365,3.4859838805163066,367.0245819321987
27,1988,14.429839058356126,6.803135267071987,382.0127326683564
28,1989,4.212527347192341,1.3861014221293557,321.8405744284843
29,1990,7.412803649331292,2.2504580589545204,355.3560585617875
30,1991,4.301183766123278,1.1934963654166875,339.0931595376925
31,1992,9.453330100049065,3.2933776754299164,382.1604082830605
32,1993,1.4582844561213486,0.4415017633034336,315.3025788205928
33,1994,16.49241307973722,4.875427186428187,371.57842701004006
34,1995,5.716197927343649,2.4591216298080574,416.44925046161575
35,1996,17.34651402391517,6.0475221415438885,391.6103808412948
36,1997,3.3627259336125164,0.8525662694188928,374.08852792958163
37,1998,5.413722901655703,1.8126205540325977,371.2566551116837
38,1999,15.921199274879449,6.589946150469913,409.5926365007603
39,2000,22.831393833743128,7.680598069954181,423.3653669571743
40,2001,11.101527844887846,3.6070474484461177,394.4901841317561
41,2002,17.834260504034745,4.1303329565704345,372.6150360732637
42,2003,8.936995503853632,2.692686954595633,409.3586759061809
43,2004,4.1156839730880295,1.2517219289242834,404.00639437463803
44,2005,8.023637632937618,2.827284622216977,409.3657642571563
45,2006,15.487372687984218,5.625685702091752,390.70472802817716
46,2007,21.504266460553605,7.525470823437943,387.6081142961762
47,2008,10.159863109601918,3.0739738673683643,379.8854031184925
48,2009,4.0367557273282175,1.0297858218780094,352.44222212225833
49,2010,5.481332194029712,1.4343437068475093,370.1776320201064
50,2011,10.098673854369384,2.4524822119881886,373.11479733970987
51,2012,26.03105988929696,8.670737777084879,396.2597567522123
52,2013,10.446250500641636,3.433854892633305,378.6637290627828
53,2014,18.89981676324475,4.239780885032015,331.1288295094107
54,2015,23.227305377400075,6.331213775342795,368.11436330839905
55,2016,10.63139900273994,3.0097327640673366,387.09288163031624
56,2017,20.21004036017351,5.47416464597823,379.3896980374182
57,2018,21.455542341574144,5.919941114631055,375.94918648799234
58,2019,4.501385914740424,1.5354469987138202,385.87608996035794
59,2020,31.833782801146317,6.540062139188403,388.0647909262314
